"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Scope: coverage","not specified",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Classification","not specified",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Scope: unit","claim-level",,
107,"Amelia","Teaching constructive replications in the behavioral and social sciences using quantitative data","Scope: coverage","only focal or primary claims","""When evaluating inconsistencies in coding and analyses, students can focus on whether the direction, strength, and statistical significance of the focal effects are consistent with the findings of the original study."" (p. 120)",
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Classification","not specified",,
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Scope: unit","not specified",,
108,"Amelia","Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation","Scope: coverage","not specified",,
117,"Amelia","Computational reproducibility of R code supplements on OSF","Classification","binary","""we executed the R scripts within custom Docker containers and found that 25.87% completed successfully without error""",
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: unit","claim-level",,"actually ""script-level"" but I think it is equivalent to ""claim-level"""
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: coverage","all claims",,
117,"Amelia","Computational reproducibility of R code supplements on OSF","Classification","ordinal","""40 projects... in which all scripts executed without failure, indicating full project-level reproducibility. The other 68 successful scripts were from 34 projects... that also included at least one failed script, reflecting partial reproducibility. The remaining 175 projects... had no successfully executed scripts.""",
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: unit","paper-level",,"actually ""project-level"" but I think it is equivalent to ""paper-level"""
117,"Amelia","Computational reproducibility of R code supplements on OSF","Scope: coverage","all claims",,
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Classification","ordinal","Reproducible from raw data, reproducible from analysis data (not reproducible, implied) p. 5",
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Scope: unit","paper-level","""After making these modifications, we were able to successfully reproduce all main results in the article"" (p.6)",
125,"Amelia","A report on ""corruption and Co-optation in autocracy: evidence from Russia""","Scope: coverage","all claims","""After making these modifications, we were able to successfully reproduce all main results in the article"" (p.6)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","binary","The first we call a Directional Reproduction, a dichotomy where results simply point in the same direction and match a null hypothesis significance test that the coefficient is exactly zero with a cut-off of p < 0.05 or not. In this scenario, the exact numbers need not match for success. (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level","each individual odds ratio is assessed",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""results simply point in the same direction and match a null hypothesis significance test that the coefficient is exactly zero with a cut-off of p < 0.05 or not"" (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","binary","...Exact Replication where results must be within 1% of the original. This reflects precision, an important aspect of science such that without it, we might not claim reliable results. (p. 8)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""results must be within 1% of the original"" odds ratio (p. 8); specifically, the ratio difference must be within 0.01",
128,"Amelia","The reliability of replications: a study in computational reproductions","Classification","continuum","The third is a continuous variable capturing Replication Error measured as the absolute value of the ratio difference between the replicated odds ratio and original (p. 9)",
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: unit","claim-level",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Scope: coverage","not specified",,
128,"Amelia","The reliability of replications: a study in computational reproductions","Statistical criterion",,"""absolute value of the ratio difference between the replicated odds ratio and original"" (p. 9) — a continuous measure on [0, ∞)",
