"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
19,"Amelia","The ReproRubric: evaluation criteria for the reproducibility of computational analyses","Scope: unit","paper-level","To score at a particular Tier, the research project must meet or exceed all criteria for that Tier in each Research Stage. One overall Tier per project, not per individual claim",
19,"Amelia","The ReproRubric: evaluation criteria for the reproducibility of computational analyses","Scope: coverage","not specified",,
20,"Amelia","Successes and struggles with computational reproducibility: lessons from the fragile families challenge","Classification","not specified",,
20,"Amelia","Successes and struggles with computational reproducibility: lessons from the fragile families challenge","Scope: unit","not specified",,
20,"Amelia","Successes and struggles with computational reproducibility: lessons from the fragile families challenge","Scope: coverage","not specified",,
21,"Amelia","Implementing computational reproducibility in the whole tale environment","Classification","ordinal","""These levels of assessment are defined in the report as follows:  1. Reviewable Research. The descriptions of the research  methods can be independently assessed and the results judged credible. 2. Replicable Research. Tools are made available that would  allow one to duplicate the results of the research, for example by running the authors’ code to produce the plots shown in the publication. 3. Open or Reproducible Research. Well-documented and fully  open code and data that are publicly available that would allow one to (a) fully audit the computational procedure, (b) replicate and also independently reproduce the results of the research, and (c) extend the results or apply the method to new problems."" (p. 18)",
21,"Amelia","Implementing computational reproducibility in the whole tale environment","Scope: unit","paper-level",,
21,"Amelia","Implementing computational reproducibility in the whole tale environment","Scope: coverage","not specified",,
23,"Amelia","Creating and sharing reproducible research code the workflowr way","Classification","not specified",,
23,"Amelia","Creating and sharing reproducible research code the workflowr way","Scope: unit","not specified",,
23,"Amelia","Creating and sharing reproducible research code the workflowr way","Scope: coverage","not specified",,
24,"Amelia","Computational reproducibility: the elephant in the room","Classification","not specified",,
24,"Amelia","Computational reproducibility: the elephant in the room","Scope: unit","not specified",,
24,"Amelia","Computational reproducibility: the elephant in the room","Scope: coverage","not specified",,
25,"Amelia","Toward computational reproducibility: a doctoral student's story of passing the baton","Classification","not specified",,
25,"Amelia","Toward computational reproducibility: a doctoral student's story of passing the baton","Scope: unit","not specified",,
25,"Amelia","Toward computational reproducibility: a doctoral student's story of passing the baton","Scope: coverage","not specified",,
26,"Amelia","Facilitating reproducible project management and manuscript development in team science: the projects R package","Classification","not specified",,
26,"Amelia","Facilitating reproducible project management and manuscript development in team science: the projects R package","Scope: unit","not specified",,
26,"Amelia","Facilitating reproducible project management and manuscript development in team science: the projects R package","Scope: coverage","not specified",,
27,"Amelia","Rebooting reproducibility: From re-execution to replication","Classification","not specified",,
27,"Amelia","Rebooting reproducibility: From re-execution to replication","Scope: unit","not specified",,
27,"Amelia","Rebooting reproducibility: From re-execution to replication","Scope: coverage","not specified",,
28,"Amelia","A synthetic dataset primer for the biobehavioural sciences to promote reproducibility and hypothesis generation","Classification","not specified",,
28,"Amelia","A synthetic dataset primer for the biobehavioural sciences to promote reproducibility and hypothesis generation","Scope: unit","not specified",,
28,"Amelia","A synthetic dataset primer for the biobehavioural sciences to promote reproducibility and hypothesis generation","Scope: coverage","not specified",,
29,"Amelia","Journal data policies: exploring how the understanding of editors and authors corresponds to the policies themselves","Classification","not specified",,
29,"Amelia","Journal data policies: exploring how the understanding of editors and authors corresponds to the policies themselves","Scope: unit","not specified",,
29,"Amelia","Journal data policies: exploring how the understanding of editors and authors corresponds to the policies themselves","Scope: coverage","not specified",,
30,"Amelia","Advancing computational reproducibility in the dataverse data repository platform","Classification","not specified",,
30,"Amelia","Advancing computational reproducibility in the dataverse data repository platform","Scope: unit","not specified",,
30,"Amelia","Advancing computational reproducibility in the dataverse data repository platform","Scope: coverage","not specified",,
31,"Amelia","Reproducibility, preservation, and access to research with ReproZip and ReproServer","Classification","not specified",,
31,"Amelia","Reproducibility, preservation, and access to research with ReproZip and ReproServer","Scope: unit","not specified",,
31,"Amelia","Reproducibility, preservation, and access to research with ReproZip and ReproServer","Scope: coverage","not specified",,
32,"Amelia","Beyond open data: a model for linking digital artifacts to enable reproducibility of scientific claims","Classification","not specified",,
32,"Amelia","Beyond open data: a model for linking digital artifacts to enable reproducibility of scientific claims","Scope: unit","not specified",,
32,"Amelia","Beyond open data: a model for linking digital artifacts to enable reproducibility of scientific claims","Scope: coverage","not specified",,
33,"Amelia","Documenting computing environments for reproducible experiments","Classification","binary","""Since our setup depended on generating a valid result, we downloaded, in total, about 100 repositories from GitHub and Zenodo. However, we could build and successfully execute only 29 repositories. (p. 762)""",
33,"Amelia","Documenting computing environments for reproducible experiments","Scope: unit","not specified",,
33,"Amelia","Documenting computing environments for reproducible experiments","Scope: coverage","not specified",,
34,"Amelia","Reproducibility and replicability in economics","Classification","binary","Successful/failure reproduction: 	""I classified their verbose descriptions into 'success' or 'failure' based on the extent of the replication success. Only two studies were perfectly replicated, others had some (minor) deviations, and three failed to replicate."" (p. 38)",
34,"Amelia","Reproducibility and replicability in economics","Scope: unit","paper-level",,
34,"Amelia","Reproducibility and replicability in economics","Scope: coverage","not specified",,
35,"Amelia","Trust, but verify: an investigation of methods of verification and dissemination of computational research artifacts for transparency and reproducibility","Classification","ordinal","The paper reports a 4-level ordinal typology directly derived from the seven initiatives' policies: ""Materials only... Partial reproduction... Full reproduction... Full reproduction with extension"" (§5.4.2 ""Range,"" p.107–108).",
35,"Amelia","Trust, but verify: an investigation of methods of verification and dissemination of computational research artifacts for transparency and reproducibility","Scope: unit","paper-level","Table 6.2 phrasing is uniformly paper/article-level (""reproduce the analytic results reported in the article,"" p.138). IS description separately mentions ""verify if the claims in the paper can be confirmed"" (p.138)",
35,"Amelia","Trust, but verify: an investigation of methods of verification and dissemination of computational research artifacts for transparency and reproducibility","Scope: coverage","all claims","Full reproduction = all claims (AJPS, Biostatistics, TOMS, p.108)",
36,"Amelia","A survey on collecting, managing, and analyzing provenance from scripts","Classification","not specified",,
36,"Amelia","A survey on collecting, managing, and analyzing provenance from scripts","Scope: unit","not specified",,
36,"Amelia","A survey on collecting, managing, and analyzing provenance from scripts","Scope: coverage","not specified",,
37,"Amelia","The four possibilities of reproducible scientific computations","Classification","continuum","""A computation is reproducible if it offers the four essential possibilities: (1) The possibility to inspect all the input data and all the source code that can possibly have an impact on the results; (2) The possibility to run the code on a suitable computer of one's own choice in order to verify that it indeed produces the claimed results; (3) The possibility to explore the behavior of the code, by inspecting intermediate results, by running the code with small modifications, or by subjecting it to code analysis tools; (4) The possibility to verify that published executable versions of the computation, proposed as binary files or as services, do indeed correspond to the available source code."" and ""each representing one of the possibilities expressed on a suitable scale with its estimated time evolution""",
37,"Amelia","The four possibilities of reproducible scientific computations","Scope: unit","not specified",,
37,"Amelia","The four possibilities of reproducible scientific computations","Scope: coverage","not specified",,
38,"Amelia","Ten simple rules for writing dockerfiles for reproducible data science","Classification","not specified",,
38,"Amelia","Ten simple rules for writing dockerfiles for reproducible data science","Scope: unit","not specified",,
38,"Amelia","Ten simple rules for writing dockerfiles for reproducible data science","Scope: coverage","not specified",,
39,"Amelia","How to make a pie: reproducible research for empirical economics and econometrics","Classification","not specified",,
39,"Amelia","How to make a pie: reproducible research for empirical economics and econometrics","Scope: unit","not specified",,
39,"Amelia","How to make a pie: reproducible research for empirical economics and econometrics","Scope: coverage","not specified",,
40,"Amelia","The role of containers in reproducibility","Classification","not specified",,
40,"Amelia","The role of containers in reproducibility","Scope: unit","not specified",,
40,"Amelia","The role of containers in reproducibility","Scope: coverage","not specified",,
41,"Amelia","Reproducibility in accounting research: views of the research community","Classification","not specified",,
41,"Amelia","Reproducibility in accounting research: views of the research community","Scope: unit","not specified",,
41,"Amelia","Reproducibility in accounting research: views of the research community","Scope: coverage","not specified",,
42,"Amelia","AEA data and code availability policy","Classification","not specified",,
42,"Amelia","AEA data and code availability policy","Scope: unit","not specified",,
42,"Amelia","AEA data and code availability policy","Scope: coverage","not specified",,
43,"Amelia","Dawning of a new age? Economics journals’ data policies on the test bench","Classification","not specified",,
43,"Amelia","Dawning of a new age? Economics journals’ data policies on the test bench","Scope: unit","not specified",,
43,"Amelia","Dawning of a new age? Economics journals’ data policies on the test bench","Scope: coverage","not specified",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Classification","ordinal","Table 1 uses four discrete categories (No errors / Resolvable errors / Errors requiring further information / Data-prep scripts not archived), p. 464, though the prose also summarizes it binarily (""13 could be reproduced... remaining seven"")",
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Scope: unit","claim-level","""For each study... attempted to run each program file and recorded any errors"" (p. 463)","It is labelled as ""study-level"" so I coded ""claim-level"". It could be also ""paper-level"" if one paper contains one study."
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Scope: coverage","not specified",,
45,"Amelia","Toward reusable science with readable code and reproducibility","Classification","binary","""The web application sends the code, data and dependency information to Cloud Build… Docker… executes them in the order specified by the user during the upload step, and records and outputs the execution result, which can be success or error."" (p. 5)",
45,"Amelia","Toward reusable science with readable code and reproducibility","Scope: unit","not specified",,
45,"Amelia","Toward reusable science with readable code and reproducibility","Scope: coverage","not specified",,
46,"Amelia","Reproducible research in R: a tutorial on how to do the same thing more than once","Classification","not specified",,
46,"Amelia","Reproducible research in R: a tutorial on how to do the same thing more than once","Scope: unit","not specified",,
46,"Amelia","Reproducible research in R: a tutorial on how to do the same thing more than once","Scope: coverage","not specified",,
47,"Amelia","The science of open (communication) science: toward an evidence-driven understanding of quality criteria in communication research","Classification","not specified",,
47,"Amelia","The science of open (communication) science: toward an evidence-driven understanding of quality criteria in communication research","Scope: unit","not specified",,
47,"Amelia","The science of open (communication) science: toward an evidence-driven understanding of quality criteria in communication research","Scope: coverage","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Classification","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Scope: unit","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Scope: coverage","not specified",,
49,"Amelia","The fundamental principles of reproducibility","Classification","ordinal","""there are three degrees of reproducibility: Outcome reproducible... Analysis reproducible... Interpretation reproducible"" (p. 10–11) or in detail: Outcome reproducible: The outcome of the reproducibility experiment is the same as  the outcome produced by the original experiment. When the outcome is the same, the same analysis and interpretation can be made, which leads to the same result and hence the hypothesis is supported by both experiments. The experiment is outcome reproducible. Analysis reproducible: The outcome of the reproducibility experiment does not have to be  the same as the outcome produced by the original experiment, but as long as the same analysis can be made and it leads to the same interpretation, the experiment is analysis reproducible. Interpretation reproducible: Neither the outcome nor the analysis need to be the same as long  as the interpretation of the analysis leads to the same conclusion. In this case, the experiment is interpretation reproducible.",
49,"Amelia","The fundamental principles of reproducibility","Scope: unit","not specified",,
49,"Amelia","The fundamental principles of reproducibility","Scope: coverage","not specified",,
50,"Amelia","Fixing dependency errors for python build reproducibility","Classification","binary","""Unreproducible Build: A build whose current build outcome differs from its original build outcome. For example, a failed build that currently terminates due to an error different from the error of the original build, or a passed build that is currently failing. Both failed and passed builds are considered unreproducible if associated tests have different results from the original logs."" (p. 442, Sec. 2.3)",
50,"Amelia","Fixing dependency errors for python build reproducibility","Scope: unit","not specified",,
50,"Amelia","Fixing dependency errors for python build reproducibility","Scope: coverage","not specified",,
51,"Amelia","A reproducible data analysis workflow with R Markdown, Git, Make, and Docker","Classification","not specified",,
51,"Amelia","A reproducible data analysis workflow with R Markdown, Git, Make, and Docker","Scope: unit","not specified",,
51,"Amelia","A reproducible data analysis workflow with R Markdown, Git, Make, and Docker","Scope: coverage","not specified",,
52,"Amelia","CODECHECK: an open science initiative for the independent execution of computations underlying research articles during peer review to improve reproducibility","Classification","binary","""CODE WORKS ✓"" badge (p. 4–5)",
52,"Amelia","CODECHECK: an open science initiative for the independent execution of computations underlying research articles during peer review to improve reproducibility","Scope: unit","claim-level","Certificate manifest lists individual outputs matched to specific manuscript figures/tables (Figure 4D, p. 10)","with paper-level aggregation"
52,"Amelia","CODECHECK: an open science initiative for the independent execution of computations underlying research articles during peer review to improve reproducibility","Scope: coverage","not specified",,
53,"Amelia","Science capsule: towards sharing and reproducibility of scientific workflows","Classification","not specified",,
53,"Amelia","Science capsule: towards sharing and reproducibility of scientific workflows","Scope: unit","not specified",,
53,"Amelia","Science capsule: towards sharing and reproducibility of scientific workflows","Scope: coverage","not specified",,
54,"Amelia","WORCS: a workflow for open reproducible code in science","Classification","binary","Either or not the replication package get a badge",
54,"Amelia","WORCS: a workflow for open reproducible code in science","Scope: unit","not specified",,
54,"Amelia","WORCS: a workflow for open reproducible code in science","Scope: coverage","not specified",,
55,"Amelia","Computational reproducibility: a practical framework for data curators","Classification","not specified",,
55,"Amelia","Computational reproducibility: a practical framework for data curators","Scope: unit","not specified",,
55,"Amelia","Computational reproducibility: a practical framework for data curators","Scope: coverage","not specified",,
56,"Amelia","Reproducibility badging and definitions","Classification","binary","Getting a reproducibility badge or not",
56,"Amelia","Reproducibility badging and definitions","Scope: unit","not specified",,
56,"Amelia","Reproducibility badging and definitions","Scope: coverage","not specified",,
57,"Amelia","Principles for data analysis workflows","Classification","not specified",,
57,"Amelia","Principles for data analysis workflows","Scope: unit","not specified",,
57,"Amelia","Principles for data analysis workflows","Scope: coverage","not specified",,
58,"Amelia","Improving research quality: the view from the UK reproducibility network institutional leads for research improvement","Classification","not specified",,
58,"Amelia","Improving research quality: the view from the UK reproducibility network institutional leads for research improvement","Scope: unit","not specified",,
58,"Amelia","Improving research quality: the view from the UK reproducibility network institutional leads for research improvement","Scope: coverage","not specified",,
59,"Amelia","Understanding experiments and research practices for reproducibility: an exploratory study","Classification","not specified",,
59,"Amelia","Understanding experiments and research practices for reproducibility: an exploratory study","Scope: unit","not specified",,
59,"Amelia","Understanding experiments and research practices for reproducibility: an exploratory study","Scope: coverage","not specified",,
60,"Amelia","Reproducibility in the social sciences","Classification","not specified",,
60,"Amelia","Reproducibility in the social sciences","Scope: unit","not specified",,
60,"Amelia","Reproducibility in the social sciences","Scope: coverage","not specified",,
61,"Amelia","A collaborative semantic-based provenance management platform for reproducibility","Classification","not specified",,
61,"Amelia","A collaborative semantic-based provenance management platform for reproducibility","Scope: unit","not specified",,
61,"Amelia","A collaborative semantic-based provenance management platform for reproducibility","Scope: coverage","not specified",,
62,"Amelia","Containerization for creating reusable model code","Classification","not specified",,
62,"Amelia","Containerization for creating reusable model code","Scope: unit","not specified",,
62,"Amelia","Containerization for creating reusable model code","Scope: coverage","not specified",,
63,"Amelia","Toward practical transparent verifiable and long-term reproducible research using guix","Classification","not specified",,
63,"Amelia","Toward practical transparent verifiable and long-term reproducible research using guix","Scope: unit","not specified",,
63,"Amelia","Toward practical transparent verifiable and long-term reproducible research using guix","Scope: coverage","not specified",,
64,"Amelia","Reproducibility signals in science: a preliminary analysis","Classification","not specified",,"No operationalization of reproducibility success/failure found in this paper (paper is coded in Part_B2)."
64,"Amelia","Reproducibility signals in science: a preliminary analysis","Scope: unit","not specified",,
64,"Amelia","Reproducibility signals in science: a preliminary analysis","Scope: coverage","not specified",,
65,"Amelia","Long-term availability of data associated with articles in PLOS ONE","Classification","not specified",,
65,"Amelia","Long-term availability of data associated with articles in PLOS ONE","Scope: unit","not specified",,
65,"Amelia","Long-term availability of data associated with articles in PLOS ONE","Scope: coverage","not specified",,
66,"Amelia","Reproducible research publication workflow: a canonical workflow framework and FAIR digital object approach to quality research output","Classification","not specified",,
66,"Amelia","Reproducible research publication workflow: a canonical workflow framework and FAIR digital object approach to quality research output","Scope: unit","not specified",,
66,"Amelia","Reproducible research publication workflow: a canonical workflow framework and FAIR digital object approach to quality research output","Scope: coverage","not specified",,
67,"Amelia","Tools and recommendations for reproducible teaching","Classification","not specified",,
67,"Amelia","Tools and recommendations for reproducible teaching","Scope: unit","not specified",,
67,"Amelia","Tools and recommendations for reproducible teaching","Scope: coverage","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Classification","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Scope: unit","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Scope: coverage","not specified",,
70,"Amelia","The Stark realities of reproducible statistically orientated sociological research: Some newer rules of the sociological method","Classification","binary","""a sociological analysis can be described as being 'duplicated' when a third party that is unconnected with the original analysis can produce results that are identical (e.g. they match published results)"" (p.208)",
70,"Amelia","The Stark realities of reproducible statistically orientated sociological research: Some newer rules of the sociological method","Scope: unit","not specified",,
70,"Amelia","The Stark realities of reproducible statistically orientated sociological research: Some newer rules of the sociological method","Scope: coverage","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Classification","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Scope: unit","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Scope: coverage","not specified",,
72,"Amelia","Care to share? Experimental evidence on code sharing behavior in the social sciences","Classification","not specified",,
72,"Amelia","Care to share? Experimental evidence on code sharing behavior in the social sciences","Scope: unit","not specified",,
72,"Amelia","Care to share? Experimental evidence on code sharing behavior in the social sciences","Scope: coverage","not specified",,
73,"Amelia","A backend platform for supporting the reproducibility of computational experiments","Classification","not specified",,
73,"Amelia","A backend platform for supporting the reproducibility of computational experiments","Scope: unit","not specified",,
73,"Amelia","A backend platform for supporting the reproducibility of computational experiments","Scope: coverage","not specified",,
74,"Amelia","Reproducibility as a service","Classification","not specified",,
74,"Amelia","Reproducibility as a service","Scope: unit","not specified",,
74,"Amelia","Reproducibility as a service","Scope: coverage","not specified",,
75,"Amelia","Reinforcing reproducibility and replicability: an introduction","Classification","not specified",,
75,"Amelia","Reinforcing reproducibility and replicability: an introduction","Scope: unit","not specified",,
75,"Amelia","Reinforcing reproducibility and replicability: an introduction","Scope: coverage","not specified",,
76,"Amelia","Making provenance work for you","Classification","not specified",,
76,"Amelia","Making provenance work for you","Scope: unit","not specified",,
76,"Amelia","Making provenance work for you","Scope: coverage","not specified",,
77,"Amelia","Report of the AEA data editor","Classification","ordinal","""Accept / Accept with changes / Conditional accept / Revise and resubmit"" (Table 1, p.851)",
77,"Amelia","Report of the AEA data editor","Scope: unit","paper-level","Statistics reported per manuscript throughout (Tables 1–3), e.g. ""500 requests, for 429 manuscripts"" (p.850)",
77,"Amelia","Report of the AEA data editor","Scope: coverage","not specified",,
78,"Amelia","CRRESS - session 4 - reproducibility and confidential data","Classification","not specified",,
78,"Amelia","CRRESS - session 4 - reproducibility and confidential data","Scope: unit","not specified",,
78,"Amelia","CRRESS - session 4 - reproducibility and confidential data","Scope: coverage","not specified",,
80,"Amelia","Replication of the morning after: report from the nottingham replication games","Classification","not specified",,
80,"Amelia","Replication of the morning after: report from the nottingham replication games","Scope: unit","not specified",,
80,"Amelia","Replication of the morning after: report from the nottingham replication games","Scope: coverage","not specified",,
81,"Amelia","statacons: An SCons-based build tool for Stata","Classification","not specified",,
81,"Amelia","statacons: An SCons-based build tool for Stata","Scope: unit","not specified",,
81,"Amelia","statacons: An SCons-based build tool for Stata","Scope: coverage","not specified",,
82,"Amelia","Supporting reproducible research","Classification","not specified",,
82,"Amelia","Supporting reproducible research","Scope: unit","not specified",,
82,"Amelia","Supporting reproducible research","Scope: coverage","not specified",,
83,"Amelia","Reproducibility and transparency versus privacy and confidentiality: Reflections from a data editor","Classification","ordinal","Reproduced / Partial / No — ""Random pull of data"" table",
83,"Amelia","Reproducibility and transparency versus privacy and confidentiality: Reflections from a data editor","Scope: unit","paper-level",,
83,"Amelia","Reproducibility and transparency versus privacy and confidentiality: Reflections from a data editor","Scope: coverage","not specified",,
84,"Amelia","Replications in agricultural economics","Classification","not specified",,
84,"Amelia","Replications in agricultural economics","Scope: unit","not specified",,
84,"Amelia","Replications in agricultural economics","Scope: coverage","not specified",,
85,"Amelia","The Role of Third-Party Verification in Research Reproducibility","Classification","binary","""Finally, the report is sent to the (data) editor of the journal, who is the one deciding on whether the verification is successful (i.e., the paper can be published) or unsuccessful (i.e., the paper needs to undergo an additional round of verifications)."" (p. 4)",
85,"Amelia","The Role of Third-Party Verification in Research Reproducibility","Scope: unit","paper-level","""the verifier starts by checking whether the submitted material (all code, data, readme file, manuscript) complies with a set of guidelines."" (p. 3)",
85,"Amelia","The Role of Third-Party Verification in Research Reproducibility","Scope: coverage","all claims","""Specifically, the verifier compares the numerical values of all original and regenerated parameters presented in tables, as well as the level, shapes, and positions of all curves or data points depicted in figures."" (p. 3-4)",
86,"Amelia","What makes computational communication science (ir)reproducible?","Classification","ordinal","""In the protocol, we define the following events as failures to reproduce the analyses: (1) No shared code, (2) No shared data, (3) Code execution failure, despite code rewrite, (4) Technically executable, but results with major deviations."" (p.6)",
86,"Amelia","What makes computational communication science (ir)reproducible?","Scope: unit","paper-level","""Among the 14 articles we were able to evaluate, we confirmed that Articles H (with major code rewrite), E (with minor code rewrite) and M (with no code rewrite) are essentially reproducible. Articles B (with major code rewrite) and N (with minor code rewrite) are largely reproducible"" (p. 10)",
86,"Amelia","What makes computational communication science (ir)reproducible?","Scope: coverage","all claims","""Our decision was to run the code beyond the main analysis anyway (if it is available)."" (p. 10, footnote)",
86,"Amelia","What makes computational communication science (ir)reproducible?","Statistical criterion",,"Deviations coded on a threshold: decimal-level/typographical differences = ""minor"" (does not count as failure); any deviation beyond decimals = ""major"" (counts as reproduction failure, Criterion 4); an additional ""uncheckable/unknown"" category exists for cases where deviation cannot be assessed (p. 9-10)",
87,"Amelia","Measuring transparency in the social sciences: political science and international relations","Classification","not specified",,
87,"Amelia","Measuring transparency in the social sciences: political science and international relations","Scope: unit","not specified",,
87,"Amelia","Measuring transparency in the social sciences: political science and international relations","Scope: coverage","not specified",,
88,"Amelia","Reproducibility in Management Science","Classification","ordinal","""Fully reproduced"" / ""'Largely reproduced, with minor issues' means small differences... conclusions and learnings stay the same"" / ""'Largely not reproduced, with major issues' means... could not be used to support the conclusions"" / ""'Not reproduced' means... cannot support the conclusions... because output is different, or... cannot be produced at all"" (p. 1348–1349)",
